Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
15N17O	Nitric oxide	517.27640	0.0768			J=33/2-33/2,p=-1-1,F1=19-19,F2=20-20	-12.79100		583.12790	838.99643	583.14515	839.02126	CDMS
HCl+	Hydrochloric acid cation	517.50750	1.3934			N=1-1,J=3/2-3/2,p=1--1,F=5/2-3/2	-7.63310		0.01450	0.02086	0.03176	0.04570	JPL
CH2CHNC	Vinyl Isocyanide	517.59540	0.0002			1(1,0)-1(1,1)	-8.85320		1.87950	2.70417	1.89677	2.72901	JPL
C6O	Hexacarbon monoxide	517.60230	0.0009			2(3)-2(2)	-9.05970		1.27100	1.82867	1.28827	1.85352	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	517.65540	0.1045			37(10,27)-37(10,28)	-10.79360		677.18350	974.31040	677.20077	974.33524	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	518.32990	0.0151			35(5,31)-35(4,31)	-11.09030		487.36290	701.20247	487.38019	701.22734	JPL
H2NCH2COOH-IIv=2	Glycine	518.71680	0.2445			22(8,14)-22(8,15),F=21-21	-10.31380		774.68790	1114.59667	774.70520	1114.62157	JPL
H2NCH2COOH-IIv=2	Glycine	518.71800	0.2445			22(8,14)-22(8,15),F=23-23	-10.27510		774.68790	1114.59667	774.70520	1114.62157	JPL
H2NCH2COOH-IIv=0	Glycine	518.72630	0.2445			22(8,14)-22(8,15),F=22-22	-9.81610		774.68790	1114.59667	774.70520	1114.62157	JPL
H2SO4	Sulfuric acid	518.72650	0.0231			45(22,24)-45(21,24)	-9.53000		346.38610	498.36947	346.40340	498.39436	JPL
H2NCH2COOH-IIv=2	Glycine	518.74420	0.2445			22(8,14)-22(8,15),F=22-22	-10.29490		774.68790	1114.59667	774.70520	1114.62157	JPL
NH2CH2CH2OHv=0	Aminoethanol	518.92920	0.0013			46(7,40)-46(6,40)	-10.79750		382.88530	550.88337	382.90261	550.90827	JPL
17OD	Hydroxyl radical	519.64760	0.2687			N=10-10,J+1/2=19/2-19/2,p=-1-1,F1=11-9,F=10-10	-18.51330		1143.18270	1644.79561	1143.20003	1644.82055	JPL
c-C6H5OH	Phenol	519.94450	0.0002			46(17,29)-46(17,30),v=0-0	-12.60420		196.47180	282.67947	196.48914	282.70442	CDMS
c-C6H5OH	Phenol	519.98890	0.0002			46(17,29)-46(17,30),v=1-1	-12.38020		196.47360	282.68206	196.49094	282.70701	CDMS
H2SO4	Sulfuric acid	520.29880	0.0293			22(11,12)-22(10,12)	-9.34980		84.68360	121.84011	84.70096	121.86508	JPL
c-C6H5OH	Phenol	520.34220	0.0053			53(12,42)-52(13,39),v=1-0	-11.97570		232.90950	335.10526	232.92686	335.13023	CDMS
c-C6H5CCH	Phenylacetylene	520.71430	0.0011			33(8,25)-33(8,26)	-11.04780		60.95080	87.69472	60.96817	87.71971	CDMS
c-H2C3O	Cyclopropenone	520.73720	0.0001			27(7,20)-27(7,21)	-8.56090		219.95510	316.46838	219.97247	316.49338	CDMS
17OH	Hydroxyl radical	520.79400	0.1103			N=5-5,J+1/2=9/2-9/2,p=-1-1,F1=4-5,F+1/2=13/2-13/2	-11.98940		606.50010	872.62403	606.51747	872.64903	JPL
N17O	Nitric oxide	521.11560	0.0028			J=31/2-31/2,&Omega;=1/2,F1=27/2+-27/2-,F2=25/2+-25/2-	-13.00220		545.65400	785.07950	545.67138	785.10451	CDMS
CH2CHNC	Vinyl Isocyanide	521.28820	0.0097			37(5,32)-37(5,33)	-9.48840		279.52890	402.17742	279.54629	402.20244	JPL
H2NCH2COOH-Iv=1	Glycine	521.30140	0.015			6(3,3)-6(3,4),F=6-6	-10.17690		78.90950	113.53252	78.92689	113.55753	JPL
SO2v=0	Sulfur dioxide	521.45930	0.0008			39(7,33)-38(8,30)	-9.52410		583.16670	839.04197	583.18409	839.06700	JPL
SO2v=0	Sulfur dioxide	521.46010	0.0001			39(7,33)-38(8,30)	-9.55860		583.16670	839.04197	583.18409	839.06700	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	521.83310	0.0001			27(5,23)-27(4,23)	-9.10370		85.54100	123.07522	85.55841	123.10026	CDMS
CH318OHvt=0,1&2	Methanol	521.96800	0.31			34(3,31)-34(3,32)A,vt=1	-12.63700		1190.51400	1712.87423	1190.53141	1712.89928	CDMS
17OH	Hydroxyl radical	521.98280	0.0086			N=5-5,J+1/2=9/2-9/2,p=1--1,F1=5-5,F+1/2=9/2-9/2	-10.22350		606.49640	872.61871	606.51381	872.64376	JPL
N17O	Nitric oxide	522.13680	0.0028			J=31/2-31/2,&Omega;=1/2,F1=27/2+-27/2-,F2=27/2+-27/2-	-12.97300		545.65390	785.07936	545.67132	785.10441	CDMS
CF	Fluoromethylidyne	522.62800	0.1773			J=3/2,&Omega;=3/2,F=2--1+	-9.81160		78.69420	113.22275	78.71163	113.24783	CDMS
N17O	Nitric oxide	523.14620	0.0583			J=31/2-31/2,&Omega;=1/2,F1=29/2+-29/2-,F2=31/2+-31/2-	-12.90710		545.65380	785.07921	545.67125	785.10432	CDMS
c-DCOOH	Formic Acid	523.40480	0.0075			48(9,39)-48(9,40)	-10.47390		988.28760	1421.91723	988.30506	1421.94235	JPL
N18O	Nitric oxide	523.44010	0.0001			J=3/2-3/2,&Omega;=1/2,F=1/2+-1/2-	-11.56160		4.75560	6.84229	4.77306	6.86741	CDMS
CF	Fluoromethylidyne	523.56120	0.0391			J=1/2,&Omega;=1/2,F=1--1+	-9.30440		0.01680	0.02417	0.03426	0.04930	CDMS
CF	Fluoromethylidyne	523.85320	0.1774			J=3/2,&Omega;=3/2,F=2+-1-	-9.80950		78.69420	113.22275	78.71167	113.24789	CDMS
H2NCH2COOH-Iv=2	Glycine	523.87820	0.1863			39(12,27)-39(12,28),F=38-38	-10.58230		212.74090	306.08494	212.75837	306.11008	JPL
H2NCH2COOH-Iv=2	Glycine	523.87830	0.1863			39(12,27)-39(12,28),F=40-40	-10.56030		212.74090	306.08494	212.75837	306.11008	JPL
H2NCH2COOH-Iv=0	Glycine	523.87980	0.1863			39(12,27)-39(12,28),F=39-39	-10.09380		212.74090	306.08494	212.75837	306.11008	JPL
H2NCH2COOH-Iv=2	Glycine	523.88280	0.1863			39(12,27)-39(12,28),F=39-39	-10.57140		212.74090	306.08494	212.75837	306.11008	JPL
13CH2OHCHO	Glycolaldehyde	523.92550	0.0017			16(7,9)-15(8,8)	-9.64540		72.46200	104.25733	72.47948	104.28248	CDMS
n-C3H7CN,v=0	n-Butyronitrile, gauche/anti combined	523.98100	0.0035			52(12,40)-52(12,41),gauche	-10.79090		310.60650	446.89638	310.62398	446.92152	CDMS
15N17O	Nitric oxide	524.30300	0.0679			J=33/2-33/2,p=-1-1,F1=19-19,F2=19-19	-12.90020		583.12770	838.99615	583.14519	839.02131	CDMS
t-HONO	Trans - HONO	524.64110	0.0076			27(5,22)-27(5,23)	-10.04590		364.82420	524.89763	364.84170	524.92280	JPL
t-HONO	Trans - HONO	524.78800	0.0166			36(6,30)-36(6,31)	-10.54800		620.83510	893.23809	620.85261	893.26327	JPL
NH2CH2CH2OHv=0	Aminoethanol	524.94060	0.0003			10(1,10)-10(0,10)	-10.44060		17.75270	25.54203	17.77021	25.56722	JPL
D2CO	Formaldehyde	524.97360	0			6(3,3)-6(3,4)	-8.29530		74.76960	107.57748	74.78711	107.60267	CDMS
D2CO	Formaldehyde	524.97810	0.0013			6(3,3)-6(3,4)	-8.29530		74.76960	107.57616	74.78711	107.60135	JPL
HCCCH2OH	Propargyl Alcohol	525.38230	0.0014			64(8,56)-64(8,57),vt=1-1	-11.20670		701.26301	1008.95524	701.28053	1008.98046	JPL
c-C5H4CH2	Methylenecyclopentadiene	525.44760	0.0079			10(5,5)-10(5,6)	-10.79180		16.09050	23.15079	16.10803	23.17601	CDMS
H2NCH2COOH-Iv=2	Glycine	526.00950	0.0037			6(3,3)-6(3,4),F=5-5	-10.58100		6.87110	9.88592	6.88865	9.91117	JPL
H2NCH2COOH-Iv=2	Glycine	526.01700	0.0037			6(3,3)-6(3,4),F=7-7	-10.44300		6.87110	9.88592	6.88865	9.91117	JPL
H2NCH2COOH-Iv=0	Glycine	526.02970	0.0037			6(3,3)-6(3,4),F=6-6	-10.01910		6.87110	9.88592	6.88865	9.91117	JPL
H2NCH2COOH-Iv=2	Glycine	526.06140	0.0036			6(3,3)-6(3,4),F=6-6	-10.51710		6.87110	9.88592	6.88865	9.91117	JPL
N17O	Nitric oxide	527.04420	0.0904			J=31/2-31/2,&Omega;=1/2,F1=25/2+-25/2-,F2=23/2+-23/2-	-13.01240		545.65390	785.07936	545.67148	785.10465	CDMS
gG'a-CH3CHOHCH2OH	1,2-propanediol, gG'a 	527.26320	0.0003			36(12,24)-36(12,25)	-9.45450		169.89020	244.43569	169.90779	244.46100	CDMS
HCCCH2OH	Propargyl Alcohol	527.62840	0.0007			53(7,46)-53(7,47),vt=1-1	-11.00360		494.03981	710.80900	494.05741	710.83432	JPL
NH2CHO	Formamide	527.70360	0			24(5,19)-24(5,20)	-8.85560		264.56370	380.65063	264.58130	380.67595	CDMS
17OD	Hydroxyl radical	527.83570	0.0364			N=2-2,J+1/2=5/2-5/2,p=1--1,F1=2-4,F=4-3	-18.87690		46.12210	66.35985	46.13971	66.38518	JPL
t-H13COOH	Formic Acid	527.87830	0.001			39(7,32)-39(7,33)	-10.44580		690.56370	993.56141	690.58131	993.58674	CDMS
t-H13COOH	Formic Acid	527.88300	0.0007			39(7,32)-39(7,33)	-10.46140		690.56370	993.56141	690.58131	993.58674	JPL
NH2CH2CH2OHv25=1	Aminoethanol	527.91970	0.0007			10(1,10)-10(0,10)	-11.07090		322.71610	464.31381	322.73371	464.33915	JPL
t-H13COOH	Formic Acid	527.94880	0.0008			31(6,25)-31(6,26)	-9.97420		449.49440	646.71846	449.51201	646.74379	CDMS
t-H13COOH	Formic Acid	527.95030	0.0004			31(6,25)-31(6,26)	-9.98980		449.49440	646.71846	449.51201	646.74379	JPL
N17O	Nitric oxide	528.01600	0.09			J=31/2-31/2,&Omega;=1/2,F1=25/2+-25/2-,F2=25/2+-25/2-	-12.98590		545.65390	785.07936	545.67151	785.10470	CDMS
c-C6H5OH	Phenol	528.26560	0.0004			74(26,48)-74(26,49),v=0-0	-12.86650		497.75510	716.15951	497.77272	716.18486	CDMS
c-C6H5OH	Phenol	528.67240	0.0094			74(16,58)-73(19,55),v=1-0	-12.30180		454.49110	653.91218	454.50873	653.93755	CDMS
C8O	Octacarbon monoxide 	528.76570	0.0048			7(8)-7(7)	-9.64800		2.99630	4.31098	3.01394	4.33636	JPL
c-H2C213CO	Cyclopropenone	528.89260	0.0012			38(9,29)-38(9,30)	-8.90120		418.63020	602.31940	418.64784	602.34478	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	528.99130	0.0052			46(7,40)-46(6,40)	-11.41510		687.22310	988.75506	687.24075	988.78045	JPL
15N17O	Nitric oxide	529.18650	0.0239			J=33/2-33/2,p=-1-1,F1=18-18,F2=19-19	-12.89520		583.12770	838.99615	583.14535	839.02154	CDMS
C6H	1,3,5-Hexatriynyl	529.46480	1.7216			J=77/2,&Omega;=3/2,F=38-38,l=f-e	-9.77440		70.13840	100.91293	70.15606	100.93834	JPL
C6H	1,3,5-Hexatriynyl	529.47500	1.7217			J=77/2,&Omega;=3/2,F=39-39,l=f-e	-9.76330		70.13830	100.91279	70.15596	100.93820	JPL
IO	Iodine monoxide	529.68610	0.0107			N=3-3,J=7/2-7/2,p=-1-1,F=11/2-9/2	-9.79460		4.11730	5.92391	4.13497	5.94934	JPL
IO	Iodine monoxide	529.72460	0.0106			N=3-3,J=7/2-7/2,p=1--1,F=11/2-9/2	-9.79450		4.11730	5.92391	4.13497	5.94934	JPL
N17O	Nitric oxide	530.26520	0.0032			J=31/2-31/2,&Omega;=1/2,F1=27/2+-27/2-,F2=29/2+-29/2-	-12.92010		545.65370	785.07907	545.67139	785.10452	CDMS
H2CS	Thioformaldehyde	530.93390	0.0046			20(3,17)-20(3,18)	-9.32260		322.86051	464.52158	322.87822	464.54706	CDMS
CH2CHNC	Vinyl Isocyanide	532.08230	0.0161			49(6,43)-49(6,44)	-9.84590		475.41880	684.01767	475.43655	684.04321	JPL
H2CCO	Ketene	532.20430	0.0105			13(2,11)-13(2,12)	-9.86380		97.60340	140.42871	97.62115	140.45425	CDMS
CH3CNv8=1	Methyl Cyanide	533.87110	0.0051			J=5-5,lK=-1-1	-9.63840		369.95500	532.28619	369.97281	532.31181	JPL
CH2OO	Methylene peroxide	533.94690	0.0033			16(4,12)-16(4,13)	-8.27070		140.70260	202.44097	140.72041	202.46660	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	534.08300	0.0001			36(7,30)-36(6,30)	-9.14410		152.65440	219.63706	152.67222	219.66269	CDMS
gG'a-CH3CHOHCH2OH	1,2-propanediol, gG'a 	534.47080	0			3(2,1)-3(2,2)	-9.55170		1.97740	2.84506	1.99523	2.87071	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	534.49110	0.0063			45(12,33)-45(12,34)	-10.75520		701.97100	1009.97388	701.98883	1009.99953	JPL
HDCO	Formaldehyde	534.77800	0.0008			40(8,32)-40(8,33)	-12.20260		2116.31850	3044.93006	2116.33634	3044.95573	CDMS
DNO3	Nitric acid	534.79230	0.0003			34(26,8)-34(269)	-9.07500		459.41280	660.98874	459.43064	661.01440	JPL
HOCN	Cyanic acid	535.56610	0.0125			2(1,1)-2(1,2)	-8.21670		24.45330	35.18264	24.47116	35.20834	CDMS
H15NCSa-type	Isothiocyanic acid	535.65230	0.0006			5(1,4)-5(1,5)	-9.48870		48.59530	69.91825	48.61317	69.94396	CDMS
H13CN,v2=2	Hydrogen cyanide 	535.66310	0.0075			8(2)-8(-2)	-10.17470		1518.73290	2185.13209	1518.75077	2185.15780	CDMS
N17O	Nitric oxide	536.19990	0.09			J=31/2-31/2,&Omega;=1/2,F1=25/2+-25/2-,F2=27/2+-27/2-	-12.93260		545.65370	785.07907	545.67159	785.10480	CDMS
c-C6H5CCH	Phenylacetylene	536.25560	0.0009			23(6,17)-23(6,18)	-11.04110		30.60030	44.02706	30.61819	44.05280	CDMS
15N17O	Nitric oxide	536.31280	0.0319			J=33/2-33/2,p=-1-1,F1=18-18,F2=18-18	-12.85340		583.12750	838.99586	583.14539	839.02160	CDMS
N17O	Nitric oxide	536.51480	0.0172			J=5/2-5/2,&Omega;=1/2,F1=9/2+-9/2-,F2=9/2+-7/2-	-13.07650		13.01070	18.71962	13.02860	18.74537	CDMS
NO,v=1	Nitric oxide	537.17710	0.0075			J=33/2-33/2,&Omega;=1/2,F=31/2+-31/2-	-16.13840		2429.01730	3494.83681	2429.03522	3494.86259	CDMS
NH2CH2CH2OHv25+v27	Aminoethanol	537.53500	0.0182			19(6,13)-19(6,14)	-10.49360		484.30410	696.80156	484.32203	696.82736	JPL
NO,v=1	Nitric oxide	538.23380	0.0074			J=33/2-33/2,&Omega;=1/2,F=33/2+-33/2-	-16.11030		2429.01720	3494.83667	2429.03515	3494.86250	CDMS
c-C6H5CCH	Phenylacetylene	538.85790	0.0011			28(7,21)-28(7,22)	-11.24500		44.47400	63.98825	44.49197	64.01411	CDMS
c-H2C3O	Cyclopropenone	538.86700	0.0001			38(9,29)-38(9,30)	-8.88540		418.96840	602.80599	418.98637	602.83186	CDMS
17OD	Hydroxyl radical	539.00980	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=1-3,F=2-3	-8.14550		0.02680	0.03856	0.04478	0.06443	JPL
CHOCHOHCH2OH	Glyceraldehyde	539.11860	0.0938			47(9,39)-47(8,39)	-9.09030		205.08600	295.07493	205.10398	295.10080	CDMS
HCCCH2OH	Propargyl Alcohol	539.25480	0.0021			41(6,35)-41(6,36),vt=0-0	-11.01530		290.72500	418.28602	290.74299	418.31190	JPL
15N17O	Nitric oxide	539.60400	0.0701			J=33/2-33/2,p=-1-1,F1=17-17,F2=18-18	-12.84930		583.12760	838.99600	583.14560	839.02190	CDMS
17OD	Hydroxyl radical	540.46370	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=1-3,F=2-2	-8.84270		0.02680	0.03856	0.04483	0.06450	JPL
NH2CH2CH2OHv26=1	Aminoethanol	540.61820	0.0025			37(10,27)-37(10,28)	-10.33850		476.50970	685.58722	476.52773	685.61317	JPL
t-HCOOH	Formic Acid	540.67230	0.0017			40(7,33)-40(7,34)	-10.50050		724.66000	1042.61810	724.67803	1042.64405	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	540.83760	0.0008			23(7,16)-23(7,17)	-9.87710		212.87430	306.27687	212.89234	306.30283	JPL
17OD	Hydroxyl radical	541.31950	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=1-2,F=2-1	-9.98500		0.02670	0.03842	0.04476	0.06440	JPL
15N17O	Nitric oxide	541.40010	0.0133			J=3/2-3/2,p=1--1,F1=3-4,F2=4-5	-11.75630		4.70510	6.76963	4.72316	6.79562	CDMS
PSv=0	Phosphorus monosulfide	541.43910	3.1342			J=1/2,&Omega;=1/2,F=1-0,l=f-e	-9.12580		0.01030	0.01482	0.02836	0.04080	JPL
c-C6H5CCH	Phenylacetylene	542.04620	0.001			70(15,55)-70(15,56)	-11.47180		262.19670	377.24306	262.21478	377.26908	CDMS
H213CO	Formaldehyde	542.07250	0.0025			42(7,35)-42(7,36)	-12.89930		2535.86490	3648.52294	2535.88298	3648.54896	CDMS
H213CO	Formaldehyde	542.07250	0.0025			42(7,35)-42(7,36)	-12.89930		2535.86490	3648.52294	2535.88298	3648.54896	JPL
H2SO4	Sulfuric acid	542.61950	0.0245			64(31,34)-64(30,34)	-9.95270		695.73900	1001.00747	695.75710	1001.03351	JPL
NH2CH2CH2OHv=0	Aminoethanol	542.64980	0.002			45(12,33)-45(12,34)	-10.10820		397.53290	571.95788	397.55100	571.98392	JPL
H2SO4	Sulfuric acid	542.66080	2.6324			86(41,46)-86(40,46)	-10.77200		1250.01280	1798.47924	1250.03090	1798.50529	JPL
H2SO4	Sulfuric acid	542.71290	0.0213			9(5,5)-9(4,5)	-9.07930		15.06010	21.66800	15.07820	21.69405	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	542.92170	8.063			19(11,9)-20(10,10)	-11.95630		511.31020	735.65709	511.32831	735.68315	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	542.92420	8.063			19(11,8)-20(10,11)	-11.95630		511.31020	735.65709	511.32831	735.68315	JPL
c-C6H5OH	Phenol	543.09290	0.0041			48(33,16)-49(32,17),v=1-0	-11.39530		299.39900	430.76895	299.41712	430.79501	CDMS
c-C6H5OH	Phenol	543.09290	0.0041			48(33,15)-49(32,18),v=1-0	-11.39530		299.39900	430.76895	299.41712	430.79501	CDMS
HCCCH2OH	Propargyl Alcohol	543.37830	0.0042			33(5,28)-33(5,29),vt=0-0	-10.80930		190.90130	274.66281	190.91943	274.68889	JPL
HCCCH2OD	Propargyl Alcohol	543.50820	0.0541			22(4,18)-22(4,19),vt=1-1	-9.65790		94.34830	135.74538	94.36643	135.77146	JPL
NH2CH2CH2OHv27=2	Aminoethanol	543.58930	0.0015			40(6,35)-40(5,35)	-10.94590		453.24740	652.11815	453.26553	652.14424	JPL
17OH	Hydroxyl radical	543.83220	0.009			N=5-5,J+1/2=9/2-9/2,p=1--1,F1=5-4,F+1/2=9/2-7/2	-12.42360		606.49570	872.61770	606.51384	872.64380	JPL
CH3OHvt=0-2	Methanol	543.95500	0.014			16(2,14)-16(2,15)A,vt=1	-10.89070		426.29030	613.33312	426.30844	613.35923	CDMS
CH2OO	Methylene peroxide	544.25330	0.0314			47(8,39)-47(8,40)	-9.95300		1015.68660	1461.35597	1015.70475	1461.38209	JPL
t-HONO	Trans - HONO	544.28970	0.001			11(3,8)-11(3,9)	-9.47020		76.22330	109.66770	76.24146	109.69382	JPL
CH2CHNC	Vinyl Isocyanide	544.34330	0.0007			7(2,5)-7(2,6)	-8.98570		15.75950	22.67427	15.77766	22.70040	JPL
c-C6H5OH	Phenol	544.63890	0.0002			43(16,27)-43(16,28),v=0-0	-12.31170		172.24930	247.82865	172.26747	247.85479	CDMS
c-C6H5OH	Phenol	544.68280	0.0002			43(16,27)-43(16,28),v=1-1	-12.53140		172.25100	247.83109	172.26917	247.85724	CDMS
gG'a-CH3CHOHCH2OH	1,2-propanediol, gG'a 	546.03930	0.0001			22(8,14)-22(8,15)	-9.32550		66.04050	95.01817	66.05871	95.04437	CDMS
CH3OHvt=0-2	Methanol	546.10800	0.008			2(1,1)-2(1,2)A,vt=2	-10.83750		479.37260	689.70627	479.39082	689.73248	CDMS
13CH	Methylidyne  	546.13750	0.0731				-8.62950		31.96930	45.99643	31.98752	46.02264	JPL
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	546.33710	0.0032			75(16,60)-75(15,60)	-9.98580		666.92160	959.55766	666.93982	959.58388	CDMS
H2CO	Formaldehyde	546.35180	0.0005			32(6,26)-32(6,27)	-11.37280		1575.90520	2267.36301	1575.92342	2267.38923	CDMS
H2CO	Formaldehyde	546.35280	0.001			32(6,26)-32(6,27)	-11.37300		1575.90520	2267.36301	1575.92342	2267.38923	JPL
NO	Nitric oxide	546.42950	0.0232			J=31/2,&Omega;=3/2,F=29/2+-31/2-	-14.51160		557.73900	802.45739	557.75723	802.48362	JPL
NO	Nitric oxide	546.43950	0.0026			J=33/2-33/2,&Omega;=1/2,F=33/2+-31/2-	-14.51180		557.73870	802.46680	557.75693	802.49303	CDMS
l-H2C3O	Propadienone	546.49950	5.3836			48(3,45)-48(3,46),vt=0-0	-10.60470		384.15780	552.71420	384.17603	552.74043	CDMS
15N17O	Nitric oxide	546.63440	0.0716			J=33/2-33/2,p=-1-1,F1=17-17,F2=17-17	-12.84820		583.12730	838.99557	583.14553	839.02180	CDMS
NO,v=1	Nitric oxide	546.69430	0.0075			J=33/2-33/2,&Omega;=1/2,F=35/2+-35/2-	-16.06860		2429.01710	3494.83653	2429.03534	3494.86276	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	546.71530	0.0011			41(6,36)-41(5,36)	-10.82980		405.63380	583.61320	405.65204	583.63944	JPL
N17O	Nitric oxide	547.14550	0.0132			J=3/2-3/2,&Omega;=1/2,F1=5/2+-7/2-,F2=5/2+-5/2-	-13.00070		4.88170	7.02372	4.89995	7.04998	CDMS
17OO	Molecular oxygen	547.29270	0.0171			N=6-6,J=5-7,F=13/2-15/2	-16.85880		58.39360	84.01488	58.41186	84.04115	JPL
H2NCH2COOH-IIv=2	Glycine	547.34030	1.1577			40(13,27)-40(13,28),F=39-39	-10.45440		934.15930	1344.03912	934.17756	1344.06539	JPL
H2NCH2COOH-IIv=0	Glycine	547.34500	1.1577			40(13,27)-40(13,28),F=40-40	-9.96610		934.15940	1344.03927	934.17766	1344.06554	JPL
H2NCH2COOH-IIv=2	Glycine	547.35420	1.1577			40(13,27)-40(13,28),F=40-40	-10.44370		934.15940	1344.03927	934.17766	1344.06554	JPL
17OD	Hydroxyl radical	547.66440	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=3-3,F=1-2	-8.41700		0.02680	0.03856	0.04507	0.06484	JPL
17OH	Hydroxyl radical	547.75740	0.1104			N=5-5,J+1/2=9/2-9/2,p=-1-1,F1=5-5,F+1/2=15/2-13/2	-10.97830		606.50010	872.62403	606.51837	872.65032	JPL
NO	Nitric oxide	548.06500	0.0237			J=31/2,&Omega;=3/2,F=29/2+-29/2-	-12.12990		557.73900	802.45739	557.75728	802.48370	JPL
NO	Nitric oxide	548.07270	0.0027			J=33/2-33/2,&Omega;=1/2,F=31/2+-31/2-	-12.13010		557.73870	802.46680	557.75698	802.49310	CDMS
15N17O	Nitric oxide	548.46950	0.0602			J=33/2-33/2,p=-1-1,F1=16-16,F2=17-17	-12.84420		583.12740	838.99571	583.14569	839.02204	CDMS
17OD	Hydroxyl radical	548.52020	0.0066			N=1-1,J+1/2=3/2-3/2,p=-1-1,F1=3-2,F=1-1	-8.85980		0.02670	0.03842	0.04500	0.06474	JPL
HCCCH2NH2	Propargylamine	548.67440	0.0002			14(3,11)-14(3,12)	-10.72110		38.27860	55.07444	38.29690	55.10077	CDMS
13CH	Methylidyne  	548.70830	0.0763				-9.25460		31.96920	45.99628	31.98750	46.02262	JPL
CH2D37Cl	Chloromethane	549.05600	0.0138			N(Ka,Kc)=28(3,25)-28(3,26),J=53/2-53/2	-10.55420		360.62620	518.86404	360.64451	518.89039	CDMS
CH2D37Cl	Chloromethane	549.05610	0.0138			N(Ka,Kc)=28(3,25)-28(3,26),J=59/2-59/2	-10.50840		360.62620	518.86404	360.64451	518.89039	CDMS
CH2D37Cl	Chloromethane	549.05620	0.0138			N(Ka,Kc)=28(3,25)-28(3,26),J=57/2-57/2	-10.52420		360.62570	518.86332	360.64401	518.88967	CDMS
CH2D37Cl	Chloromethane	549.05620	0.0138			N(Ka,Kc)=28(3,25)-28(3,26),J=55/2-55/2	-10.53950		360.62580	518.86346	360.64411	518.88981	CDMS
c-DCOOH	Formic Acid	549.09430	0.0023			27(6,21)-27(6,22)	-9.16160		334.80590	481.70824	334.82422	481.73459	JPL
NO	Nitric oxide	549.16870	0.0237			J=31/2,&Omega;=3/2,F=31/2+-31/2-	-12.10170		557.73890	802.45725	557.75722	802.48361	JPL
c-C6H5CCH	Phenylacetylene	549.17430	0.0011			54(12,42)-54(12,43)	-11.08830		157.94110	227.24231	157.95942	227.26867	CDMS
NO	Nitric oxide	549.17710	0.0026			J=33/2-33/2,&Omega;=1/2,F=33/2+-33/2-	-12.10200		557.73860	802.46666	557.75692	802.49301	CDMS
MgNCv2=1	Magnesium Isocyanide	549.52980	0.5768			J=9/2,&Omega;=3/2,l=f-e	-8.07620		87.41680	125.77255	87.43513	125.79893	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	549.71130	0.0004			3(1,3)-3(0,3),F=2-2	-11.96230		1.06590	1.53360	1.08424	1.55998	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	549.72210	0.0004			3(1,3)-3(0,3),F=4-4	-11.68390		1.06590	1.53360	1.08424	1.55998	CDMS
CH3CHNH2COOH-II	&alpha;-Alanine	549.75280	0.0004			3(1,3)-3(0,3),F=3-3	-11.84060		1.06590	1.53360	1.08424	1.55999	CDMS
MgNCv2=1	Magnesium Isocyanide	549.98340	0.5782			J=7/2,&Omega;=1/2,l=f-e	-8.17480		87.41450	125.76924	87.43285	125.79564	CDMS
N18O	Nitric oxide	550.36240	0.0002			J=3/2-3/2,&Omega;=1/2,F=1/2+-3/2-	-11.61630		4.75470	6.84100	4.77306	6.86741	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	550.46320	0			7(1,7)-7(0,7)	-9.25470		5.66670	8.15317	5.68506	8.17959	CDMS
NH2CH2CH2OHv26=1	Aminoethanol	550.74600	0.0013			19(6,13)-19(6,14)	-10.05420		283.40360	407.75222	283.42197	407.77865	JPL
NO	Nitric oxide	550.80430	0.0262			J=31/2,&Omega;=3/2,F=31/2+-29/2-	-14.50460		557.73890	802.45725	557.75727	802.48368	JPL
NO	Nitric oxide	550.81030	0.0026			J=33/2-33/2,&Omega;=1/2,F=31/2+-33/2-	-14.50490		557.73860	802.46666	557.75697	802.49309	CDMS
