Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
CH3OHvt=0-2	Methanol	236.57400	0.008			38(5,33)-38(5,34)A,vt=0	-13.07480		1287.96240	CDMS
CH3OHvt=0-2	Methanol	236.83100	0.023			29(3,26)-29(3,27)A,vt=1	-12.72550		974.46420	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	236.90380	0			19(3,17)-19(2,17)	-9.75840		41.52780	CDMS
N17O	Nitric oxide	236.97260	0.0029			J=23/2-23/2,&Omega;=1/2,F1=19/2+-19/2-,F2=21/2+-21/2-	-13.11180		358.78300	CDMS
N17O	Nitric oxide	237.14650	0.0323			J=1/2-1/2,&Omega;=3/2,F1=5/2+-7/2-,F2=7/2+-9/2-	-11.96140		124.86050	CDMS
HeII&alpha;	Helium Recombination Line	237.20630				HeII(480)&alpha;	0.00000		0.00000	SLAIM
H&gamma;	Hydrogen Recombination Line	237.21800	0			H(435)&gamma;	0.00000		0.00000	Recomb
15N17O	Nitric oxide	237.28800	0.0592			J=25/2-25/2,p=-1-1,F1=15-15,F2=16-16	-12.92230		390.31220	CDMS
He&gamma;	Helium Recombination Line	237.31400	0			He(435)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	237.33600	0			C(435)&gamma;	0.00000		0.00000	Recomb
t-HCOOH	Formic Acid	237.37280	0.0002			22(5,17)-22(5,18)	-10.24120		245.31030	CDMS
CH3O13CHO(TopModel)	Methyl Formate	237.51800	0.015			20(-8,12)-20(8,13)vt=0-0	0.00000		114.92500	TopModel
H&alpha;	Hydrogen Recombination Line	237.57200	0			H(302)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	237.66900	0			He(302)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	237.69000	0			C(302)&alpha;	0.00000		0.00000	Recomb
H&beta;	Hydrogen Recombination Line	237.81000	0			H(380)&beta;	0.00000		0.00000	Recomb
H&delta;	Hydrogen Recombination Line	237.85900	0			H(478)&delta;	0.00000		0.00000	Recomb
H2CO	Formaldehyde	237.88430	0.0055			57(9,48)-57(9,49)	-17.92890		4651.84490	CDMS
He&beta;	Helium Recombination Line	237.90700	0			He(380)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	237.92800	0			C(380)&beta;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	237.95600	0			He(478)&delta;	0.00000		0.00000	Recomb
NH2CH2CH2OHv25=1	Aminoethanol	238.45280	0.0038			48(13,35)-48(13,36)	-11.52410		757.50610	JPL
c-HCOOH	Formic Acid	238.52230	0.0082			43(7,36)-43(7,37)	-10.87710		817.89110	CDMS
H2SO4	Sulfuric acid	238.66180	0.3305			76(36,41)-76(35,41)	-10.55050		978.01130	JPL
HeII&alpha;	Helium Recombination Line	238.69350				HeII(479)&alpha;	0.00000		0.00000	SLAIM
HNO3	Nitric acid	238.71170	0.0003			9(9,0)-9(9,1),F=8-8	-9.80270		38.33480	JPL
HNO3	Nitric acid	238.71300	0.0002			9(9,0)-9(9,1),F=10-10	-9.70990		38.33480	JPL
HNO3	Nitric acid	238.72450	0.0003			9(9,0)-9(9,1),F=9-9	-9.75860		38.33480	JPL
H&gamma;	Hydrogen Recombination Line	238.85600	0			H(434)&gamma;	0.00000		0.00000	Recomb
N17O	Nitric oxide	238.85690	0.0323			J=1/2-1/2,&Omega;=3/2,F1=5/2+-7/2-,F2=7/2+-9/2-	-11.95530		124.86050	CDMS
HOONO	Peroxynitrous acid	238.89330	0.0001			2(2,0)-2(2,1),F=1-1	-11.70820		3.31440	JPL
He&gamma;	Helium Recombination Line	238.95300	0			He(434)&gamma;	0.00000		0.00000	Recomb
ND3	Ammonia	238.96600	5.346			15(3)0a-15(-3)0s	0.00000		1205.78700	SLAIM
C&gamma;	Carbon Recombination Line	238.97500	0			C(434)&gamma;	0.00000		0.00000	Recomb
NH2CH2CH2OHv25+v27	Aminoethanol	238.99290	0.0138			22(7,15)-22(7,16)	-11.17630		509.59570	JPL
HOONO	Peroxynitrous acid	238.99670	0.0001			2(2,0)-2(2,1),F=3-3	-11.26610		3.31440	JPL
CHOCHOHCH2OH	Glyceraldehyde	239.02420	0.0364			44(8,37)-44(7,37)	-9.72870		179.05890	CDMS
17OD	Hydroxyl radical	239.18200	0.0548			N=10-10,J+1/2=19/2-19/2,p=1--1,F1=11-11,F=13-13	-12.37980		1143.18280	JPL
HOONO	Peroxynitrous acid	239.18270	0.0002			2(2,0)-2(2,1),F=2-2	-11.51880		3.31440	JPL
c-H13COOH	Formic acid	239.34910	0.0009			33(6,27)-33(6,28)	-10.23220		499.21520	JPL
H&delta;	Hydrogen Recombination Line	239.35200	0			H(477)&delta;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	239.45000	0			He(477)&delta;	0.00000		0.00000	Recomb
NO	Nitric oxide	239.55530	0.0053			J=23/2,&Omega;=3/2,F=23/2+-21/2-	-14.44210		365.52890	JPL
NO	Nitric oxide	239.55550	0.0008			J=25/2-25/2,&Omega;=1/2,F=23/2+-25/2-	-14.44230		365.52860	CDMS
H&beta;	Hydrogen Recombination Line	239.69200	0			H(379)&beta;	0.00000		0.00000	Recomb
He&beta;	Helium Recombination Line	239.79000	0			He(379)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	239.81200	0			C(379)&beta;	0.00000		0.00000	Recomb
H&alpha;	Hydrogen Recombination Line	239.94300	0			H(301)&alpha;	0.00000		0.00000	Recomb
N17O	Nitric oxide	240.02760	0.0724			J=23/2-23/2,&Omega;=1/2,F1=17/2+-17/2-,F2=19/2+-19/2-	-13.12790		358.78320	CDMS
He&alpha;	Helium Recombination Line	240.04100	0			He(301)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	240.06300	0			C(301)&alpha;	0.00000		0.00000	Recomb
HeII&alpha;	Helium Recombination Line	240.19310				HeII(478)&alpha;	0.00000		0.00000	SLAIM
H&gamma;	Hydrogen Recombination Line	240.50900	0			H(433)&gamma;	0.00000		0.00000	Recomb
SiH2&Pi3/2	Silicon Hydride	240.50910	1.817			N=1,J=3/2-3/2,F=2--1+	-11.63070		151.55130	CDMS
He&gamma;	Helium Recombination Line	240.60700	0			He(433)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	240.62900	0			C(433)&gamma;	0.00000		0.00000	Recomb
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	240.72280	0.0001			42(8,35)-42(7,35)	-9.87640		206.69280	CDMS
DNO3	Nitric acid	240.77300	0.0001			18(15,3)-18(154)	-9.22850		135.18770	JPL
NO	Nitric oxide	240.81770	0.0056			J=23/2,&Omega;=3/2,F=25/2+-23/2-	-14.43740		365.52890	JPL
NO	Nitric oxide	240.81790	0.0007			J=25/2-25/2,&Omega;=1/2,F=25/2+-27/2-	-14.43760		365.52870	CDMS
H&delta;	Hydrogen Recombination Line	240.85700	0			H(476)&delta;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	240.95600	0			He(476)&delta;	0.00000		0.00000	Recomb
H2NCH2COOH-Iv=1	Glycine	241.12610	0.0484			30(10,20)-30(10,21),F=30-30	-10.76840		201.85520	JPL
t-HCOOH	Formic Acid	241.23880	0.0015			46(8,38)-46(8,39)	-11.62250		953.66800	CDMS
NO	Nitric oxide	241.45480	0.0043			J=23/2,&Omega;=3/2,F=23/2+-23/2-	-12.28190		365.52890	JPL
NO	Nitric oxide	241.45590	0.0007			J=25/2-25/2,&Omega;=1/2,F=25/2+-25/2-	-12.28210		365.52860	CDMS
15N17O	Nitric oxide	241.48480	0.0591			J=25/2-25/2,p=-1-1,F1=15-15,F2=15-15	-12.93550		390.31220	CDMS
NO	Nitric oxide	241.53390	0.0043			J=23/2,&Omega;=3/2,F=21/2+-21/2-	-12.31660		365.52880	JPL
NO	Nitric oxide	241.53460	0.0008			J=25/2-25/2,&Omega;=1/2,F=23/2+-23/2-	-12.31680		365.52860	CDMS
c-C6H5CCH	Phenylacetylene	241.53680	0.0005			52(12,40)-52(12,41)	-11.75030		147.93480	CDMS
HDCO	Formaldehyde	241.56150	0.0004			38(8,30)-38(8,31)	-12.51270		1946.19550	CDMS
HDCO	Formaldehyde	241.57700	0.001			38(8,30)-38(8,31)	0.00000		1946.19700	SLAIM
H&beta;	Hydrogen Recombination Line	241.59400	0			H(378)&beta;	0.00000		0.00000	Recomb
c-HCOOD	Formic Acid	241.62310	0.0002			4(2,2)-4(2,3)	-9.31510		16.67420	JPL
He&beta;	Helium Recombination Line	241.69300	0			He(378)&beta;	0.00000		0.00000	Recomb
HeII&alpha;	Helium Recombination Line	241.70540				HeII(477)&alpha;	0.00000		0.00000	SLAIM
C&beta;	Carbon Recombination Line	241.71500	0			C(378)&beta;	0.00000		0.00000	Recomb
c-HCOOD	Formic Acid	241.85160	0.0079			45(7,38)-45(7,39)	-10.94440		829.66410	JPL
NH2CH2CH2OHv26+v27	Aminoethanol	241.93510	0.0605			58(15,43)-58(15,44)	-11.80930		916.50260	JPL
NO,v=1	Nitric oxide	242.14090	0.0031			J=25/2-25/2,&Omega;=1/2,F=27/2+-27/2-	-16.23680		2238.82050	CDMS
H&gamma;	Hydrogen Recombination Line	242.17700	0			H(432)&gamma;	0.00000		0.00000	Recomb
17OD	Hydroxyl radical	242.20550	0.0549			N=10-10,J+1/2=19/2-19/2,p=1--1,F1=9-10,F=11-12	-14.59850		1143.18240	JPL
CH3CHNH2COOH-I	&alpha;-Alanine	242.21760	0.0001			4(3,1)-4(3,2),F=4-4	-11.92760		2.52070	CDMS
CH3CHNH2COOH-I	&alpha;-Alanine	242.27150	0.0001			4(3,1)-4(3,2),F=5-5	-11.81340		2.52060	CDMS
He&gamma;	Helium Recombination Line	242.27600	0			He(432)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	242.29800	0			C(432)&gamma;	0.00000		0.00000	Recomb
H&alpha;	Hydrogen Recombination Line	242.34700	0			H(300)&alpha;	0.00000		0.00000	Recomb
H&delta;	Hydrogen Recombination Line	242.37500	0			H(475)&delta;	0.00000		0.00000	Recomb
c-H13COOH	Formic acid	242.38110	0.0025			42(7,35)-42(7,36)	-10.78340		781.67990	JPL
He&alpha;	Helium Recombination Line	242.44600	0			He(300)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	242.46800	0			C(300)&alpha;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	242.47400	0			He(475)&delta;	0.00000		0.00000	Recomb
CCCNv5=1	Cyanoethynyl	242.50300	0.059			J=7/2,&Omega;=1/2,l=f-e	-9.98460		153.16380	CDMS
NH2CH2CH2OHv=0	Aminoethanol	242.71040	0.0013			48(13,35)-48(13,36)	-10.87500		453.14160	JPL
t-H13COOH	Formic Acid	242.72790	0.0004			29(6,23)-29(6,24)	-10.52140		403.60870	CDMS
t-H13COOH	Formic Acid	242.72850	0.0002			29(6,23)-29(6,24)	-10.53700		403.60860	JPL
CH3OHvt=0-2	Methanol	243.16900	0.007			13(2,11)-13(2,12)A,vt=1	-11.37570		353.96210	CDMS
HeII&alpha;	Helium Recombination Line	243.23030				HeII(476)&alpha;	0.00000		0.00000	SLAIM
DNO3	Nitric acid	243.35350	0.0001			25(20,5)-25(206)	-9.38340		254.06100	JPL
NO	Nitric oxide	243.43340	0.0044			J=23/2,&Omega;=3/2,F=21/2+-23/2-	-14.42810		365.52880	JPL
NO	Nitric oxide	243.43490	0.0008			J=25/2-25/2,&Omega;=1/2,F=25/2+-23/2-	-14.42830		365.52860	CDMS
g'G'g-CH3CHOHCH2OH	1,2-propanediol, g'G'g	243.51440	0			33(6,28)-33(5,28)	-9.76670		127.03340	CDMS
H&beta;	Hydrogen Recombination Line	243.51700	0			H(377)&beta;	0.00000		0.00000	Recomb
He&beta;	Helium Recombination Line	243.61600	0			He(377)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	243.63800	0			C(377)&beta;	0.00000		0.00000	Recomb
PSv=0	Phosphorus monosulfide	243.66440	3.2761			J=1/2,&Omega;=1/2,F=1-0,l=e-f	-9.80510		0.00000	JPL
c-C6H5OH	Phenol	243.84570	0.0019			4(2,3)-3(3,0),v=1-0	-12.76570		1.92030	CDMS
H&gamma;	Hydrogen Recombination Line	243.86100	0			H(431)&gamma;	0.00000		0.00000	Recomb
H&delta;	Hydrogen Recombination Line	243.90600	0			H(474)&delta;	0.00000		0.00000	Recomb
N17O	Nitric oxide	243.92610	0.0181			J=5/2-5/2,&Omega;=1/2,F1=7/2+-9/2-,F2=5/2+-7/2-	-13.42980		13.02650	CDMS
He&gamma;	Helium Recombination Line	243.96000	0			He(431)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	243.98200	0			C(431)&gamma;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	244.00600	0			He(474)&delta;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=1	Aminoethanol	244.08010	0.0004			26(8,18)-26(8,19)	-10.56410		242.96070	JPL
H2NCH2COOH-Iv=0	Glycine	244.34460	0.0486			30(10,20)-30(10,21),F=30-30	-10.60710		129.90190	JPL
c-C6H5OH	Phenol	244.69160	0.0001			18(8,10)-18(8,11),v=0-0	-12.88580		33.00120	CDMS
HeII&alpha;	Helium Recombination Line	244.76810				HeII(475)&alpha;	0.00000		0.00000	SLAIM
H&alpha;	Hydrogen Recombination Line	244.78300	0			H(299)&alpha;	0.00000		0.00000	Recomb
HCCCH2OH	Propargyl Alcohol	244.81620	0.0003			50(7,43)-50(7,44),vt=1-1	-11.57300		447.52121	JPL
CH3OHvt=0-2	Methanol	244.87600	0.018			23(-0,23)-22(3,19)E,vt=0	-11.69270		451.41020	CDMS
He&alpha;	Helium Recombination Line	244.88200	0			He(299)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	244.90500	0			C(299)&alpha;	0.00000		0.00000	Recomb
CH2DCl	Chloromethane	245.04430	0.0108			N(Ka,Kc)=24(3,21)-24(3,22),J=51/2-51/2	-10.96190		278.83470	CDMS
CH2DCl	Chloromethane	245.04430	0.0108			N(Ka,Kc)=24(3,21)-24(3,22),J=49/2-49/2	-10.98040		278.83410	CDMS
NH2CH2CH2OHv26=1	Aminoethanol	245.12190	0.0003			12(1,12)-12(0,12)	-11.46050		232.74140	JPL
15N17O	Nitric oxide	245.35370	0.026			J=25/2-25/2,p=-1-1,F1=14-14,F2=15-15	-12.93210		390.31230	CDMS
HOONO	Peroxynitrous acid	245.38940	0.0002			28(10,18)-28(10,19),F=27-27	-11.56000		237.09830	JPL
HOONO	Peroxynitrous acid	245.38970	0.0002			28(10,18)-28(10,19),F=29-29	-11.52950		237.09830	JPL
HOONO	Peroxynitrous acid	245.39750	0.0002			28(10,18)-28(10,19),F=28-28	-11.54500		237.09840	JPL
H&delta;	Hydrogen Recombination Line	245.45000	0			H(473)&delta;	0.00000		0.00000	Recomb
H&beta;	Hydrogen Recombination Line	245.46000	0			H(376)&beta;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	245.55000	0			He(473)&delta;	0.00000		0.00000	Recomb
He&beta;	Helium Recombination Line	245.56000	0			He(376)&beta;	0.00000		0.00000	Recomb
H&gamma;	Hydrogen Recombination Line	245.56000	0			H(430)&gamma;	0.00000		0.00000	Recomb
CH3OOH	Methyl peroxide	245.57050	0.0352			N/A	-10.81300		267.82961	JPL
C&beta;	Carbon Recombination Line	245.58200	0			C(376)&beta;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	245.59400	0.01			23(-8,15)-23(8,16)vt=0-0	0.00000		142.06050	TopModel
He&gamma;	Helium Recombination Line	245.66000	0			He(430)&gamma;	0.00000		0.00000	Recomb
NH2CH2CH2OHv25+v27	Aminoethanol	245.67110	0.0029			12(1,12)-12(0,12)	-11.87730		433.74880	JPL
C&gamma;	Carbon Recombination Line	245.68300	0			C(430)&gamma;	0.00000		0.00000	Recomb
NH2CH2CH2OHv26=1	Aminoethanol	245.79270	0.0007			22(7,15)-22(7,16)	-10.73370		308.73150	JPL
D2CO	Formaldehyde	246.09170	0.0001			30(8,22)-30(8,23)	-10.72770		1148.95560	CDMS
D2CO	Formaldehyde	246.09300	0			30(8,22)-30(8,23)	0.00000		1148.95600	SLAIM
IO	Iodine monoxide	246.25930	0.0048			N=2-2,J=5/2-5/2,p=1--1,F=5/2-3/2	-9.90690		1.72540	JPL
HeII&alpha;	Helium Recombination Line	246.31890				HeII(474)&alpha;	0.00000		0.00000	SLAIM
17OD	Hydroxyl radical	246.33210	0.0549			N=10-10,J+1/2=19/2-19/2,p=1--1,F1=10-10,F=12-12	-12.39070		1143.18240	JPL
IO	Iodine monoxide	246.49300	0.0048			N=2-2,J=5/2-5/2,p=-1-1,F=5/2-3/2	-9.90610		1.72540	JPL
CH3O13CHO(TopModel)	Methyl Formate	246.65500	0			16(6,10)-16(6,11)+-vt=1-1	0.00000		203.09250	TopModel
c-C6H5OH	Phenol	246.78900	0.0033			39(27,12)-40(26,15),v=1-0	-11.95830		199.36280	CDMS
c-C6H5OH	Phenol	246.78900	0.0033			39(27,13)-40(26,14),v=1-0	-11.95830		199.36280	CDMS
CH3O13CHO(TopModel)	Methyl Formate	246.90300	1.111			57(31,26)-57(-31,27)vt=0-0	0.00000		1109.51360	TopModel
H&delta;	Hydrogen Recombination Line	247.00700	0			H(472)&delta;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	247.06000	0			40(12,28)-40(12,29)+-vt=0-0	0.00000		401.53780	TopModel
He&delta;	Helium Recombination Line	247.10700	0			He(472)&delta;	0.00000		0.00000	Recomb
c-HCOOH	Formic Acid	247.19310	0.0008			17(4,13)-17(4,14)	-9.53960		152.56930	CDMS
NO	Nitric oxide	247.19680	0.0043			J=23/2,&Omega;=3/2,F=25/2+-25/2-	-12.22350		365.52890	JPL
NO	Nitric oxide	247.19780	0.0008			J=25/2-25/2,&Omega;=1/2,F=27/2+-27/2-	-12.22370		365.52870	CDMS
H&alpha;	Hydrogen Recombination Line	247.25100	0			H(298)&alpha;	0.00000		0.00000	Recomb
H&gamma;	Hydrogen Recombination Line	247.27500	0			H(429)&gamma;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	247.35200	0			He(298)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	247.37400	0			C(298)&alpha;	0.00000		0.00000	Recomb
He&gamma;	Helium Recombination Line	247.37600	0			He(429)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	247.39900	0			C(429)&gamma;	0.00000		0.00000	Recomb
H&beta;	Hydrogen Recombination Line	247.42400	0			H(375)&beta;	0.00000		0.00000	Recomb
t-HONO	Trans - HONO	247.44730	0.0038			25(5,20)-25(5,21)	-10.57640		323.10100	JPL
H2C18O	Formaldehyde	247.50790	0.0002			15(4,11)-15(4,12)	-9.67500		409.71340	CDMS
H2C18O	Formaldehyde	247.50800	0.002			15(4,11)-15(4,12)	0.00000		409.72100	SLAIM
He&beta;	Helium Recombination Line	247.52400	0			He(375)&beta;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	247.53100	0.11			59(17,42)-59(17,43)vt=0-0	0.00000		856.08450	TopModel
C&beta;	Carbon Recombination Line	247.54700	0			C(375)&beta;	0.00000		0.00000	Recomb
c-DCOOH	Formic Acid	247.56350	0.0001			3(2,1)-3(2,2)	-9.21340		11.23150	JPL
D2CO	Formaldehyde	247.65200	0			2(2,0)-2(2,1)	0.00000		20.84800	SLAIM
D2CO	Formaldehyde	247.65230	0			2(2,0)-2(2,1)	-8.45470		20.84760	CDMS
D2CO	Formaldehyde	247.65310	0.0003			2(2,0)-2(2,1)	-8.45470		20.84760	JPL
NO	Nitric oxide	247.83380	0.0044			J=23/2,&Omega;=3/2,F=23/2+-25/2-	-14.41250		365.52890	JPL
NO	Nitric oxide	247.83580	0.0007			J=25/2-25/2,&Omega;=1/2,F=27/2+-25/2-	-14.41270		365.52860	CDMS
HeII&alpha;	Helium Recombination Line	247.88290				HeII(473)&alpha;	0.00000		0.00000	SLAIM
IO	Iodine monoxide			248.17900	0.008	N=4-4,J=9/2-9/2,p=1--1,F=11/2-9/2	-10.55920		7.15770	JPL
t-H13COOH	Formic Acid	248.29560	0.0007			45(8,37)-45(8,38)	-11.51170		913.85270	CDMS
CH318OHvt=0,1&2	Methanol	248.46000	0			7(2,5)-7(2,6)A,vt=0	-10.61200		69.34500	CDMS
H&delta;	Hydrogen Recombination Line	248.57700	0			H(471)&delta;	0.00000		0.00000	Recomb
HCCNCv7=1	Ethyne Isocyanide	248.64620	0.0107			J=5,l=1f-1e	-9.89760		207.98280	JPL
He&delta;	Helium Recombination Line	248.67800	0			He(471)&delta;	0.00000		0.00000	Recomb
15N17O	Nitric oxide	248.80230	0.0171			J=5/2-5/2,p=-1--1,F1=4-5,F2=5-6	-13.10870		12.55900	CDMS
NH2CH2CH2OHv25+v27	Aminoethanol	248.94270	0.0017			6(3,3)-6(3,4)	-11.12330		418.91220	JPL
H&gamma;	Hydrogen Recombination Line	249.00700	0			H(428)&gamma;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	249.08300	0.111			60(17,43)-60(17,44)vt=0-0	0.00000		880.85300	TopModel
He&gamma;	Helium Recombination Line	249.10800	0			He(428)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	249.13100	0			C(428)&gamma;	0.00000		0.00000	Recomb
IO	Iodine monoxide			249.21100	0.006	N=4-4,J=9/2-9/2,p=-1-1,F=11/2-9/2	-10.55560		7.15770	JPL
H&beta;	Hydrogen Recombination Line	249.40800	0			H(374)&beta;	0.00000		0.00000	Recomb
HeII&alpha;	Helium Recombination Line	249.46010				HeII(472)&alpha;	0.00000		0.00000	SLAIM
15N17O	Nitric oxide	249.46590	0.0262			J=25/2-25/2,p=-1-1,F1=14-14,F2=14-14	-12.94780		390.31240	CDMS
He&beta;	Helium Recombination Line	249.51000	0			He(374)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	249.53300	0			C(374)&beta;	0.00000		0.00000	Recomb
N17O	Nitric oxide	249.68940	0.0142			J=3/2-3/2,&Omega;=1/2,F1=7/2+-7/2-,F2=7/2+-7/2-	-12.27120		4.88080	CDMS
H&alpha;	Hydrogen Recombination Line	249.75300	0			H(297)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	249.85400	0			He(297)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	249.87700	0			C(297)&alpha;	0.00000		0.00000	Recomb
H&delta;	Hydrogen Recombination Line	250.16000	0			H(470)&delta;	0.00000		0.00000	Recomb
t-HONO	Trans - HONO	250.23670	0.0165			43(7,36)-43(7,37)	-11.66500		875.50350	JPL
He&delta;	Helium Recombination Line	250.26200	0			He(470)&delta;	0.00000		0.00000	Recomb
17OD	Hydroxyl radical	250.62270	0.0549			N=10-10,J+1/2=19/2-19/2,p=1--1,F1=11-10,F=13-12	-14.55140		1143.18240	JPL
H&gamma;	Hydrogen Recombination Line	250.75400	0			H(427)&gamma;	0.00000		0.00000	Recomb
t-HCOOH	Formic Acid	250.76300	0.0001			15(4,11)-15(4,12)	-9.97250		125.47310	CDMS
NH2CH2CH2OHv26=1	Aminoethanol	250.78160	0.0003			19(2,18)-19(1,18)	-11.40150		270.89200	JPL
He&gamma;	Helium Recombination Line	250.85600	0			He(427)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	250.87900	0			C(427)&gamma;	0.00000		0.00000	Recomb
NH2CH2CH2OHv27=1	Aminoethanol	250.88950	0.0004			37(5,33)-37(4,33)	-11.38700		347.70270	JPL
NH2CH2CH2OHv27=1	Aminoethanol	250.89190	0.0002			25(3,23)-25(2,23)	-11.21470		214.42270	JPL
CH3O13CHO(TopModel)	Methyl Formate	250.93200	0.03			41(13,28)-41(13,29)vt=0-0	0.00000		429.29590	TopModel
HeII&alpha;	Helium Recombination Line	251.05070				HeII(471)&alpha;	0.00000		0.00000	SLAIM
c-C6H5OH	Phenol	251.32130	0.0028			20(7,14)-21(4,17),v=0-1	-12.56100		37.36630	CDMS
CH3O13CHO(TopModel)	Methyl Formate	251.33000	0.035			42(14,28)-42(14,29)vt=0-0	0.00000		458.43110	TopModel
HCCCH2OH	Propargyl Alcohol	251.36170	0.0021			29(5,24)-29(5,25),vt=0-0	-11.33270		153.22240	JPL
H&beta;	Hydrogen Recombination Line	251.41400	0			H(373)&beta;	0.00000		0.00000	Recomb
He&beta;	Helium Recombination Line	251.51700	0			He(373)&beta;	0.00000		0.00000	Recomb
C&beta;	Carbon Recombination Line	251.54000	0			C(373)&beta;	0.00000		0.00000	Recomb
H&delta;	Hydrogen Recombination Line	251.75700	0			H(469)&delta;	0.00000		0.00000	Recomb
He&delta;	Helium Recombination Line	251.86000	0			He(469)&delta;	0.00000		0.00000	Recomb
NH2CH2CH2OHv25+v27	Aminoethanol	251.89010	0.0926			45(12,33)-45(12,34)	-11.60750		802.60160	JPL
NH2CH2CH2OHv25+v27	Aminoethanol	251.97580	0.0352			31(9,22)-31(9,23)	-11.26200		601.47400	JPL
15N17O	Nitric oxide	251.98890	0.0575			J=25/2-25/2,p=-1-1,F1=13-13,F2=14-14	-12.94660		390.31250	CDMS
N17O	Nitric oxide	252.23650	0.033			J=1/2-1/2,&Omega;=3/2,F1=5/2+-7/2-,F2=5/2+-7/2-	-11.99340		124.85850	CDMS
H&alpha;	Hydrogen Recombination Line	252.28800	0			H(296)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	252.39100	0			He(296)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	252.41400	0			C(296)&alpha;	0.00000		0.00000	Recomb
c-DCOOH	Formic Acid	252.42060	0.0037			46(9,37)-46(9,38)	-10.94040		919.50280	JPL
H&gamma;	Hydrogen Recombination Line	252.51800	0			H(426)&gamma;	0.00000		0.00000	Recomb
CH3O13CHO(TopModel)	Methyl Formate	252.52300	0			24(8,16)-24(8,17)+-vt=1-1	0.00000		282.50030	TopModel
He&gamma;	Helium Recombination Line	252.62100	0			He(426)&gamma;	0.00000		0.00000	Recomb
C&gamma;	Carbon Recombination Line	252.64400	0			C(426)&gamma;	0.00000		0.00000	Recomb
H2SO4	Sulfuric acid	252.64950	0.0063			3(2,2)-3(1,2)	-10.43660		2.00180	JPL
HeII&alpha;	Helium Recombination Line	252.65480				HeII(470)&alpha;	0.00000		0.00000	SLAIM
NH2CH2CH2OHv25+v27	Aminoethanol	252.70050	0.0031			19(2,18)-19(1,18)	-11.81380		471.88740	JPL
NH2CH2CH2OHv26=1	Aminoethanol	252.70190	0.0003			6(3,3)-6(3,4)	-10.69170		217.93350	JPL
CH3O13CHO(TopModel)	Methyl Formate	252.91400	0.104			58(17,41)-58(17,42)vt=0-0	0.00000		831.74540	TopModel
17OD	Hydroxyl radical	252.98330	0.0549			N=10-10,J+1/2=19/2-19/2,p=1--1,F1=9-9,F=11-11	-12.40120		1143.18210	JPL
H2SO4	Sulfuric acid	253.06080	0.0149			25(12,14)-25(11,14)	-9.89240		108.72830	JPL
H&delta;	Hydrogen Recombination Line	253.36700	0			H(468)&delta;	0.00000		0.00000	Recomb
H&beta;	Hydrogen Recombination Line	253.44200	0			H(372)&beta;	0.00000		0.00000	Recomb
